ID	Title	Author	Year	Abstract	DOI / URL	DB	Relevant Category	Studientyp	Subtasks	Zielsprache	Sprachsetting	Domäne (Kategorie)	Domäne (Freitext)	Paradigma	DA-Strategie	Methode	Datensätze	Modelle	Metriken	Vergleichsmethoden	Annotationsprozess beschrieben	Annotatorenzahl / QS	Annotationsvorgehen	Annotationstiefe	Datensatzgröße abs	Datensatzgröße
003ac9d12805b3cded8c083bcd6ce5554ecc6354	Overview of the IGGSA 2016 Shared Task on Source and Target Extraction from Political Speeches	Josef Ruppenhofer, Julia Maria Struß, Michael Wiegand	2016	The second iteration of IGGSA’s Shared Task on Sentiment Analysis for German exhibits some differences, however; mainly the use of an adjudicated gold standard and the availability of training data.	https://www.semanticscholar.org/paper/003ac9d12805b3cded8c083bcd6ce5554ecc6354	ss		Datensatzpapier		German	Monolingual		Swiss Parliament Speeches				STEPS 2016				Yes	2	Single Annotation	Opinion Target Phrase, Opinion Source Phrase, Subjectivity Phrase	1186 sentences	500 - 2000
kriese-iggsa2016	System documentation for the IGGSA Shared Task 2016	Kriese, Leonard	2016	This is a brief documentation of a system, which was created to compete in the shared task on Source, Subjective Expression and Target Extraction from Political Speeches (STEPS). The system’s model is created from supervised learning on using the provided training data and is learning a lexicon of subjective expressions. Then a slightly different model will be presented that generalizes a little bit from the training data.	https://d-nb.info/1135963959/34#page=15	ss		Methodenpapier	OSE, Subjectivity Phrases, ATE	German	Monolingual		Swiss Parliament Speeches	Supervised		Classical ML, Rule-based	STEPS 2016	SentiWS, Minimal Tree	F1-micro, Precision, Recall	Kein Vergleich						
74e69a64f6d82665d142d24e9f541d4d6da58739	Saarland University’s Participation in the GErman SenTiment AnaLysis shared Task (GESTALT)	Wiegand, Michael; Bocionek, Christine; Conrad, Andreas; Dembowski, J.; Giesen, Jörn; Linn, Gregor; Schmeling, Lennart	2014	Two systems are reported on that were built for Task 1 of the German Sentiment Analysis Shared Task, the task on Source, Subjective Expression and Target Extraction from Political Speeches (STEPS).	https://ids-pub.bsz-bw.de/files/8461/Wiegand_et_al_Saarland_Universitys_Participation_in_GESTALT_2014.pdf	ss		Methodenpapier	OSE, Subjectivity Phrases, ATE	German	Monolingual		Swiss Parliament Speeches	Unsupervised, Data Augmentation	Translation	Rule-based, Classical ML	STEPS 2014	PolArt, CRF + SVM	F1-micro, Precision, Recall	Kein Vergleich						
KERSTING2023102235	Towards comparable ratings: Exploring bias in German physician reviews	Kersting, Joschka; Maoro, Falk; Geierhos, Michaela	2023	In this study, we evaluate the impact of gender-biased data from German-language physician reviews on the fairness of fine-tuned language models. For two different downstream tasks, we use data reported to be gender biased and aggregate it with annotations. First, we propose a new approach to aspect-based sentiment analysis that allows identifying, extracting, and classifying implicit and explicit aspect phrases and their polarity within a single model. The second task we present is grade prediction, where we predict the overall grade of a review on the basis of the review text. For both tasks, we train numerous transformer models and evaluate their performance. The aggregation of sensitive attributes, such as a physician’s gender and migration background, with individual text reviews allows us to measure the performance of the models with respect to these sensitive groups. These group-wise performance measures act as extrinsic bias measures for our downstream tasks. In addition, we translate several gender-specific templates of the intrinsic bias metrics into the German language and evaluate our fine-tuned models. Based on this set of tasks, fine-tuned models, and intrinsic and extrinsic bias measures, we perform correlation analyses between intrinsic and extrinsic bias measures. In terms of sensitive groups and effect sizes, our bias measure results show different directions. Furthermore, correlations between measures of intrinsic and extrinsic bias can be observed in different directions. This leads us to conclude that gender-biased data does not inherently lead to biased models. Other variables, such as template dependency for intrinsic measures and label distribution in the data, must be taken into account as they strongly influence the metric results. Therefore, we suggest that metrics and templates should be chosen according to the given task and the biases to be assessed.	https://doi.org/10.1016/j.datak.2023.102235	sd		Methodenpapier, Datensatzpapier	TASD	German	Monolingual		Physician Reviews	Supervised		Deep Learning	ABSAC	Transformer (mRoBERTa, BERT)	F1-micro, Precision, Recall	Kein Vergleich	No	unspecified	unspecified	Aspect Category, Sentiment Polarity, Opinion Target Phrase		10000 +
klinger-cimiano-2014-usage	The USAGE review corpus for fine grained multi lingual opinion analysis	Klinger, Roman; Cimiano, Philipp	2014	Opinion mining has received wide attention in recent years. Models for this task are typically trained or evaluated with a manually annotated dataset. However, fine-grained annotation of sentiments including information about aspects and their evaluation is very labour-intensive. The data available so far is limited. Contributing to this situation, this paper describes the Bielefeld University Sentiment Analysis Corpus for German and English (USAGE), which we offer freely to the community and which contains the annotation of product reviews from Amazon with both aspects and subjective phrases. It provides information on segments in the text which denote an aspect or a subjective evaluative phrase which refers to the aspect. Relations and coreferences are explicitly annotated. This dataset contains 622 English and 611 German reviews, allowing to investigate how to port sentiment analysis systems across languages and domains. We describe the methodology how the corpus was created and provide statistics including inter-annotator agreement. We further provide figures for a baseline system and results for German and English as well as in a cross-domain setting. The results are encouraging in that they show that aspects and phrases can be extracted robustly without the need of tuning to a particular type of products.	http://dx.doi.org/10.63317/2np9k72zhxvj	acl-anthology		Datensatzpapier, Methodenpapier	Subjectivity Phrases, ATE	German	Monolingual		Amazon Product Reviews	Supervised		Classical ML	USAGE	CRF	F1-micro	Kein Vergleich	Yes	2	Majority Decision	Aspect Category, Subjectivity Phrase, Opinion Target Phrase	611 reviews	500 - 2000
sanger-etal-2016-scare	SCARE ― The Sentiment Corpus of App Reviews with Fine-grained Annotations in German	Sänger, Mario; Leser, Ulf; Kemmerer, Steffen; Adolphs, Peter; Klinger, Roman	2016	The automatic analysis of texts containing opinions of users about, e.g., products or political views has gained attention within the last decades. However, previous work on the task of analyzing user reviews about mobile applications in app stores is limited. Publicly available corpora do not exist, such that a comparison of different methods and models is difficult. We fill this gap by contributing the Sentiment Corpus of App Reviews (SCARE), which contains fine-grained annotations of application aspects, subjective (evaluative) phrases and relations between both. This corpus consists of 1,760 annotated application reviews from the Google Play Store with 2,487 aspects and 3,959 subjective phrases. We describe the process and methodology how the corpus was created. The Fleiss Kappa between four annotators reveals an agreement of 0.72. We provide a strong baseline with a linear-chain conditional random field and word-embedding features with a performance of 0.62 for aspect detection and 0.63 for the extraction of subjective phrases. The corpus is available to the research community to support the development of sentiment analysis methods on mobile application reviews.	http://dx.doi.org/10.63317/4vdw8rm2qc5t	acl-anthology		Methodenpapier, Datensatzpapier	Subjectivity Phrases, ATE	German	Monolingual		Google Play Store Reviews	Supervised		Classical ML	SCARE	CRF	F1-micro, Precision, Recall	Kein Vergleich	Yes	4	Majority Decision	Aspect Category, Subjectivity Phrase, Opinion Target Phrase	1760 reviews	500 - 2000
sidarenka-2016-potts	PotTS: The Potsdam Twitter Sentiment Corpus	Uladzimir Sidarenka	2016	In this paper, we introduce a novel comprehensive dataset of 7,992 German tweets, which were manually annotated by two human experts with fine-grained opinion relations. A rich annotation scheme used for this corpus includes such sentiment-relevant elements as opinion spans, their respective sources and targets, emotionally laden terms with their possible contextual negations and modifiers. Various inter-annotator agreement studies, which were carried out at different stages of work on these data (at the initial training phase, upon an adjudication step, and after the final annotation run), reveal that labeling evaluative judgements in microblogs is an inherently difficult task even for professional coders. These difficulties, however, can be alleviated by letting the annotators revise each other’s decisions. Once rechecked, the experts can proceed with the annotation of further messages, staying at a fairly high level of agreement.		acl-anthology		Datensatzpapier		German	Monolingual		Political Tweets				PotTS				Yes	2	Curation, Majority Decision	Opinion Target Phrase, Opinion Source Phrase, Sentiment Polarity, Subjectivity Phrase	7992 tweets	5000 - 10000
wunderle-etal-2023-pointer	Pointer Networks: A Unified Approach to Extracting German Opinions	Wunderle, Julia; Pfister, Jan; Hotho, Andreas	2023	Transformer-based pointer networks currently represent the state of the art for English aspectbased sentiment analysis. Inspired by their performance in extracting structured sentiment information from text, we aim to transfer this success to the German language. For evaluation we use the GermEval shared task on “Aspect-based Sentiment in Social Media Customer Feedback”, as it consists of four subtasks: (A) Relevance Classification, (B) Document-level Polarity, (C) Aspect-level Polarity, and (D) Opinion Target Extraction (Wojatzki et al., 2017). We follow the intuition of the English approach by training a single model to solve all related subtasks at once. Therefore, the subtasks are formulated as a single unified index generation problem, enabling the model to solve all four subtasks simultaneously. We find that solving all four subtasks at once only has a minimal impact on the overall performance of our model. Consequently, we closely match or outperform all previous approaches despite them training subtask-specific models.	https://aclanthology.org/2023.konvens-main.13/	acl-anthology		Methodenpapier	ACSA, OTaE, ACD	German	Monolingual		Reviews about Public Transportation	Supervised		Deep Learning, GenAI	GermEval 2017	LLM (M2M-100, mBART, BART)	F1-micro	SOTA						
gabryszak-thomas-2022-mobasa	MobASA: Corpus for Aspect-based Sentiment Analysis and Social Inclusion in the Mobility Domain	Aleksandra Gabryszak, Philippe Thomas	2022	"In this paper we show how aspect-based sentiment analysis might help public transport companies to improve their social responsibility for accessible travel. We present MobASA: a novel German-language corpus of tweets annotated with their relevance for public transportation, and with sentiment towards aspects related to barrier-free travel. We identified and labeled topics important for passengers limited in their mobility due to disability, age, or when travelling with young children. The data can be used to identify hurdles and improve travel planning for vulnerable passengers, as well as to monitor a perception of transportation businesses regarding the social inclusion of all passengers. The data is publicly available under: <a href=""https://github.com/DFKI-NLP/sim3s-corpus"" class=""acl-markup-url"">https://github.com/DFKI-NLP/sim3s-corpus</a>"		acl-anthology		Datensatzpapier		German	Monolingual		Reviews about Inclusion in Public Transportation				MobASA				Yes	unspecified	Majority Decision	Aspect Category, Aspect Subcategory, Opinion Target Phrase, Sentiment Polarity	5201 reviews	5000 - 10000
klinger-cimiano-2015-instance	Instance Selection Improves Cross-Lingual Model Training for Fine-Grained Sentiment Analysis	Klinger, Roman; Cimiano, Philipp	2015	Scarcity of annotated corpora for many languages is a bottleneck for training finegrained sentiment analysis models that can tag aspects and subjective phrases. We propose to exploit statistical machine translation to alleviate the need for training data by projecting annotated data in a source language to a target language such that a supervised fine-grained sentiment analysis system can be trained. To avoid a negative influence of poor-quality translations, we propose a filtering approach based on machine translation quality estimation measures to select only high-quality sentence pairs for projection. We evaluate on the language pair German/English on a corpus of product reviews annotated for both languages and compare to in-target-language training. Projection without any filtering leads to 23 % F1 in the task of detecting aspect phrases, compared to 41 % F1 for in-target-language training. Our approach obtains up to 47 % F1. Further, we show that the detection of subjective phrases is competitive to in-target-language training without filtering.	https://doi.org/10.1016/10.18653/v1/K15-1016	acl-anthology		Methodenpapier	ACD, Subjectivity Phrases	German	Monolingual, Cross-Lingual Transfer		Google Play Store Reviews	Supervised, Unsupervised, Data Augmentation	Translation	Classical ML	SCARE	CRF	F1-micro	Interne Validierung						
20811c0935a1cfbd775d0506ff293c9cfed08aa1	Shared Tasks on German Sentiment Analysis ( GESTALT )	Josef Ruppenhofer, Roman Klinger, Julia Maria Struß, J. Sonntag, Michael Wiegand	2014	The German Sentiment Analysis Shared Task (GESTALT) which consists of two main tasks: Source, Subjective Expression and Target Extraction from Political Speeches (STEPS) and Subjective Phrase and Aspect Extracted from Product Reviews (StAR).	https://www.semanticscholar.org/paper/20811c0935a1cfbd775d0506ff293c9cfed08aa1	ss		Explorativ	OSE, Subjectivity Phrases, ATE	German	Monolingual		Swiss Parliament Speeches				STEPS 2014									
aßenmacher-germeval2017	Re-evaluating GermEval17 using German pre-trained language models.	Aßenmacher, M.; Corvonato, A.; Heumann, C.	2021	The lack of a commonly used benchmark data set (collection) such as (Super) GLUE (Wang et al., 2018, 2019) for the evalua- tion of non-English pre-trained language models  is  a  severe  shortcoming  of  cur- rent English-centric NLP-research. It con- centrates a large part of the research on English, neglecting the uncertainty when transferring conclusions found for the En- glish language to other languages. We eval- uate the performance of German and mul- tilingual BERT models currently available via the huggingface transformers li- brary  on  four  subtasks  of  Aspect-based Sentiment  Analysis  (ABSA)  from  the GermEval17 workshop. We compare them to pre-BERT architectures (Wojatzki et al., 2017;  Schmitt  et  al.,  2018;  Attia  et  al., 2018)  as  well  as  to  an  ELMo-based  ar- chitecture (Biesialska et al., 2020) and a BERT-based approach (Guhr et al., 2020). The observed improvements are put in rela- tion to those for a similar ABSA task (Pon- tiki et al., 2014) and similar models (pre- BERT vs.  BERT-based) for the English language  and  we  check  whether  the  re- ported improvements correspond to those we observe for German.	https://swisstext.org/archive/2021/wp-content/uploads/2021/06/reevaluate_germeval.pdf	manual		Methodenpapier	ACD, ACSA, OTaE	German	Monolingual		Reviews about Public Transportation	Supervised		Deep Learning	GermEval 2017	Transformer (BERT, mBERT)	F1-micro	SOTA						
lee-germeval2017	UKP TU-DA at GermEval 2017: Deep learning for aspect based sentiment detection	Lee, J.-U.; Eger, S.; Daxenberger, J.; Gurevych, I.	2017	This paper describes our submissions to the GermEval 2017 Shared Task, which focused on the analysis of customer feedback about the Deutsche Bahn AG. We used sentence embeddings and an ensemble of classifiers for two sub-tasks as well as state-of-the-art sequence taggers for two other sub-tasks. Relevant aspects to reproduce our experiments are available from https://github.com/UKPLab/ germeval2017-sentiment-detection.	https://www.researchgate.net/profile/Michael-Wojatzki/publication/320691578_Proceedings_of_the_GermEval_2017-Shared_Task_on_Aspect-based_Sentiment_in_Social_Media_Customer_Feedback/links/59f4ab46aca272607e2a841c/Proceedings-of-the-GermEval-2017-Shared-Task-on-Aspect-based-Sentiment-in-Social-Media-Customer-Feedback.pdf#page=26	manual		Methodenpapier	ACD, ACSA, OTaE, TASD	German	Monolingual		Reviews about Public Transportation	Supervised		Deep Learning	GermEval 2017	MLP, LSTM + CRF	F1-micro	Interne Validierung						
mishra-germeval2017	Germeval 2017: sequence based models for customer feedback analysis	Mishra, P.; Mujadia, V.; Lanka, S.	2017	In this era of information explosion, customer feedback is an important source of published content; especially in the social media. Accordingly, analysis of customer feedback is a necessity for companies and enterprises to understand and adapt based on it. Huge volumes of feedback is tough to peruse manually and hence require automated feedback analysis along with associated polarity detection. Customer feedback analysis forms the theme for Germeval Task, 2017 (Wojatzki et al., 2017)1 . In this paper, we describe our approaches for different subtasks in the Germeval Task 2017. The major part of our method is based on a bi-LSTM neural network with word embeddings as features. We observe that our approaches outperform the baseline system for three of the four tasks. The rationale behind us using a bi-LSTM solution will be presented in subsequent sections.	https://www.researchgate.net/profile/Michael-Wojatzki/publication/320691578_Proceedings_of_the_GermEval_2017-Shared_Task_on_Aspect-based_Sentiment_in_Social_Media_Customer_Feedback/links/59f4ab46aca272607e2a841c/Proceedings-of-the-GermEval-2017-Shared-Task-on-Aspect-based-Sentiment-in-Social-Media-Customer-Feedback.pdf#page=40	manual		Methodenpapier	ACD, ACSA, OTaE	German	Monolingual		Reviews about Public Transportation	Supervised		Deep Learning	GermEval 2017	MLP, LSTM, CRF	F1-micro	Interne Validierung						
ruppert-germeval2017	LT-ABSA: An extensible open-source system for document-level and aspect-based sentiment analysis	Ruppert, E.; Kumar, A.; Biemann, C.	2017	This paper presents a system for documentlevel and aspect-based sentiment analysis, developed during the inception of the GermEval 2017 Shared Task on aspect-based sentiment analysis (ABSA) (Wojatzki et al., 2017). It is a fully-featured open-source solution that offers competitive performance on previous tasks as well as a strong performance on the GermEval 2017 Shared Task. We describe the architecture of the system in detail and show competitive evaluation results on ABSA datasets in four languages. The software is distributed under a lenient license, allowing royalty-free use in academia and industry	https://www.researchgate.net/profile/Michael-Wojatzki/publication/320691578_Proceedings_of_the_GermEval_2017-Shared_Task_on_Aspect-based_Sentiment_in_Social_Media_Customer_Feedback/links/59f4ab46aca272607e2a841c/Proceedings-of-the-GermEval-2017-Shared-Task-on-Aspect-based-Sentiment-in-Social-Media-Customer-Feedback.pdf#page=59	manual		Methodenpapier	ACD, ACSA, OTaE	German	Monolingual		Reviews about Public Transportation	Supervised		Classical ML	GermEval 2017	SVM, CRF	F1-micro	SOTA						
schmitt-germeval2017	Joint Aspect and Polarity Classification for Aspect-based Sentiment Analysis with End-to-End Neural Networks	Schmitt, M.; Steinheber, S.; Schreiber, K.; Roth, B.	2018	In this work, we propose a new model for aspect-based sentiment analysis. In contrast to previous approaches, we jointly model the detection of aspects and the classification of their polarity in an end-to-end trainable neural network. We conduct experiments with different neural architectures and word representations on the recent GermEval 2017 dataset. We were able to show considerable performance gains by using the joint modeling approach in all settings compared to pipeline approaches. The combination of a convolutional neural network and fasttext embeddings outperformed the best submission of the shared task in 2017, establishing a new state of the art.	http://dx.doi.org/10.18653/v1/D18-1139	manual		Methodenpapier	ACD, ACSA	German	Monolingual		Reviews about Public Transportation	Supervised		Deep Learning	GermEval 2017	LSTM, CNN	F1-micro	SOTA, Interne Validierung						
wojatzki-germeval2017	"GermEval 2017: Shared Task on Aspect-based Sentiment 
in Social Media Customer Feedback"	Wojatzki, Michael; Ruppert, Eugen; Holschneider, Sarah; Zesch, Torsten; Biemann, Chris	2017	This paper describes the GermEval 2017 shared task on Aspect-Based Sentiment Analysis that consists of four subtasks: relevance, document-level sentiment polarity, aspect-level polarity ad opinion target extraction. System performance is measured on two evaluation sets – one from the same time period as the training and development set, and a second one, which contains data from a later time period. We describe the subtasks and the data in detail and provide the shared task results. Overall, the shared task attracted over 50 system runs from 8 teams.	https://www.researchgate.net/profile/Michael-Wojatzki/publication/320691578_Proceedings_of_the_GermEval_2017-Shared_Task_on_Aspect-based_Sentiment_in_Social_Media_Customer_Feedback/links/59f4ab46aca272607e2a841c/Proceedings-of-the-GermEval-2017-Shared-Task-on-Aspect-based-Sentiment-in-Social-Media-Customer-Feedback.pdf#page=5	manual		Datensatzpapier, Explorativ		German	Monolingual		Reviews about Public Transportation				GermEval 2017				Yes	6	Majority Decision, Curation	Aspect Category, Aspect Subcategory, Sentiment Polarity, Opinion Target Phrase	26209 reviews	10000 +
wiegand-iggsa2016	Saarland University’s Participation in the Second Shared Task on Source, Subjective Expression and Target Extraction from Political Speeches (STEPS-2016)	Wiegand, Michael; Aliman, Nadisha-Marie; Anikina, Tatjana; Carroll, Patrick; Chikobava, Margarita; Hahn, Erik; Haid, Marina; König, Katja; Lapp, Leonie; Leeuwenberg, Artuur; others	2016		https://d-nb.info/1135963959/34#page=19	manual		Methodenpapier	OSE, Subjectivity Phrases, ATE	German	Monolingual		Swiss Parliament Speeches	Unsupervised, Semi-Supervised		Rule-based, Classical ML	STEPS 2016	CRF + SVM	F1-micro, Precision, Recall	Interne Validierung						
